,loan_amnt,installment,annual_inc,result,type
0,5000,162.87,24000,0,瀹氬叴鍘?
1,2500,59.83,30000,1,鍞愬幙
2,2400,84.33,12252,0,楂橀槼鍘?
3,10000,339.31,49200,0,瀹瑰煄鍘?
4,3000,67.79,80000,0,娑炴簮鍘?
5,5000,156.46,36000,0,鏈涢兘鍘?
6,7000,170.08,47004,0,瀹夋柊鍘?
7,3000,109.43,48000,0,鏄撳幙
8,5600,152.39,40000,1,鏇查槼鍘?
9,5375,121.45,15000,1,锠″幙
10,6500,153.45,72000,0,椤哄钩鍘?
11,12000,402.54,75000,0,鍗氶噹鍘?
12,9000,305.38,30000,1,闆勫幙
13,3000,96.68,15000,0,娑垮窞甯?
14,10000,325.74,100000,1,瀹氬窞甯?
15,1000,35.31,28000,0,瀹夊浗甯?
16,10000,347.98,42000,0,楂樼搴楀競
17,3600,109.57,110000,0,寮犲鍙ｅ競
18,6000,198.46,84000,0,妗ヤ笢鍖?
19,9200,280.01,77385.19,0,妗ヨタ鍖?
20,20250,484.63,43370,0,瀹ｅ寲鍖?
21,21000,701.73,105000,1,涓嬭姳鍥尯
22,10000,330.76,50000,0,涓囧叏鍖?
23,10000,330.76,50000,0,宕囩ぜ鍖?
24,6000,198.46,76000,1,寮犲寳鍘?
25,15000,483.38,92000,0,搴蜂繚鍘?
26,15000,514.64,60000,1,娌芥簮鍘?
27,5000,123.65,50004,1,灏氫箟鍘?
28,4000,132.31,106000,0,钄氬幙
29,8500,281.15,25000,0,闃冲師鍘?
30,4375,136.11,17108,0,鎬€瀹夊幙
31,31825,995.82,75000,0,鎬€鏉ュ幙
32,10000,242.97,29120,0,娑块箍鍘?
33,5000,158.77,24044,0,璧ゅ煄鍘?
34,7000,245.97,34000,0,瀹氬叴鍘?
35,12400,403.91,41000,0,鍞愬幙
36,10800,348.03,55596,0,楂橀槼鍘?
37,15000,469.36,45000,0,瀹瑰煄鍘?
38,6000,200.5,36852,0,娑炴簮鍘?
39,12500,282.44,27000,0,鏈涢兘鍘?
40,9600,298.67,68004,0,瀹夋柊鍘?
41,12000,375.49,62300,0,鏄撳幙
42,3000,108.84,65000,0,鏇查槼鍘?
43,4400,156.37,55000,0,锠″幙
44,6000,182.62,45600,0,椤哄钩鍘?
45,14000,451.15,80000,0,鍗氶噹鍘?
46,5000,158.77,100000,1,闆勫幙
47,10000,325.74,27000,0,娑垮窞甯?
48,10000,304.36,60000,0,瀹氬窞甯?
49,11000,337.75,70000,0,瀹夊浗甯?
50,15000,483.38,80000,1,楂樼搴楀競
51,25600,824.96,110000,0,寮犲鍙ｅ競
52,7000,228.02,40000,0,妗ヤ笢鍖?
53,12000,421.65,50000,1,妗ヨタ鍖?
54,12000,386.7,46000,0,瀹ｅ寲鍖?
55,21000,555.33,50000,1,涓嬭姳鍥尯
56,16000,423.11,81000,0,涓囧叏鍖?
57,10000,334.16,39000,0,宕囩ぜ鍖?
58,10000,325.74,51400,0,寮犲寳鍘?
59,7100,252.33,33000,0,搴蜂繚鍘?
60,13000,293.74,30000,0,娌芥簮鍘?
61,17500,223.74,40000,0,灏氫箟鍘?
62,17675,417.25,50000,0,钄氬幙
63,8000,284.31,62000,0,闃冲師鍘?
64,10000,215.69,45996,1,鎬€瀹夊幙
65,3500,114.01,55000,0,鎬€鏉ュ幙
66,12500,223.11,30000,1,娑块箍鍘?
67,16425,563.53,44544,0,璧ゅ煄鍘?
68,8200,223.14,75000,1,瀹氬叴鍘?
69,15000,517.42,61000,0,鍞愬幙
70,20975,341.63,44000,0,楂橀槼鍘?
71,6400,227.45,75000,1,瀹瑰煄鍘?
72,3000,101.8,33600,0,娑炴簮鍘?
73,12000,426.47,50000,0,鏈涢兘鍘?
74,14400,457.25,150000,0,瀹夋柊鍘?
75,12000,413.94,90000,0,鏄撳幙
76,11000,373.24,48000,0,鏇查槼鍘?
77,7250,197.51,75000,0,锠″幙
78,15000,469.36,52000,0,椤哄钩鍘?
79,18000,475.99,65000,0,鍗氶噹鍘?
80,35000,551.84,150000,0,闆勫幙
81,10000,343.09,68000,0,娑垮窞甯?
82,11800,395.83,42000,0,瀹氬窞甯?
83,4500,136.96,53000,0,瀹夊浗甯?
84,7000,234.82,35000,0,楂樼搴楀競
85,9200,307.43,60000,0,寮犲鍙ｅ競
86,14000,349.98,28000,0,妗ヤ笢鍖?
87,4500,97.06,42000,0,妗ヨタ鍖?
88,12000,423.61,88365,0,瀹ｅ寲鍖?
89,12000,407.17,72000,0,涓嬭姳鍥尯
90,12000,390.88,62000,0,涓囧叏鍖?
91,7000,228.02,43680,0,宕囩ぜ鍖?
92,8200,214.62,120000,0,寮犲寳鍘?
93,10500,352.23,66000,0,搴蜂繚鍘?
94,7000,231.54,39120,0,娌芥簮鍘?
95,15300,423.1,85000,0,灏氫箟鍘?
96,20000,282.86,47800,0,钄氬幙
97,17500,437.47,45000,1,闃冲師鍘?
98,3500,106.53,83000,0,鎬€瀹夊幙
99,6000,135.57,81000,0,鎬€鏉ュ幙
